mirna	trusted
Let-7	50
Mir-101	72.7
Mir-103	44
Mir-10	38.1
Mir-122	65.7
Mir-124	60.8
Mir-126	60.4
Mir-128	62.1
Mir-129	47.9
Mir-1306	81.5
Mir-130	44.3
Mir-1329	57.7
Mir-132	48.6
Mir-133	57.8
Mir-135	41.1
Mir-137	69
Mir-1388	53.1
Mir-138	54.8
Mir-1397	86.2
Mir-139	71.3
Mir-140	52.8
Mir-1416	70
Mir-142	66.3
Mir-143	74.7
Mir-144	69.1
Mir-145	67.7
Mir-146	45.1
Mir-147	71.3
Mir-148	56
Mir-150	51.4
Mir-153	53.3
Mir-155	50.3
Mir-15	41.6
Mir-1641	74
Mir-1662	74.9
Mir-1677	58.8
Mir-1720	60.7
Mir-1788	64.5
Mir-17	41.7
Mir-1805	76.9
Mir-181	46.9
Mir-184	52.6
Mir-187	67.7
Mir-190	50.4
Mir-191	57.8
Mir-192	57.4
Mir-193	38.9
Mir-194	55.3
Mir-196	42.5
Mir-199	55.8
Mir-19	48.7
Mir-1	51.7
Mir-202	51.8
Mir-203	64.9
Mir-204	53.4
Mir-205	50.6
Mir-208	46.6
Mir-210	43.6
Mir-214	84.4
Mir-216	48.5
Mir-217	57.1
Mir-2184	55.7
Mir-2188	66.9
Mir-218	55.4
Mir-219	60.7
Mir-21	58.4
Mir-221	63.1
Mir-223	55.7
Mir-22	40
Mir-23	55.4
Mir-24	55.9
Mir-26	58.2
Mir-27	50.8
Mir-281	54.1
Mir-2970	71.7
Mir-29	48.2
Mir-30	46.7
Mir-31	58.7
Mir-32	58.1
Mir-338	45.9
Mir-33	48.8
Mir-34	34.1
Mir-375	42.1
Mir-383	77.3
Mir-4057	55.3
Mir-425	65.3
Mir-430	38.7
Mir-451	61
Mir-455	77.4
Mir-456	78.3
Mir-458	71.4
Mir-459	47.9
Mir-460	59.7
Mir-489	64.5
Mir-490	79.9
Mir-499	68.3
Mir-551	54.3
Mir-599	51
Mir-722	85.5
Mir-737	71.5
Mir-7463	84.6
Mir-7	45.1
Mir-875	61.4
Mir-8	46.6
Mir-92	35.5
Mir-96	34.7
Mir-9	63.6
Mir-252	55
Mir-4541	71.7
Mir-7147	67.4
Mir-71	70.8
Mir-725	52.8
Mir-726	73.5
Mir-727	83.8
Mir-76	80.8
Mir-105	77.6
Mir-1247	63.2
Mir-1249	76.4
Mir-1251	76.9
Mir-1271	79.6
Mir-1277	65.1
Mir-127	80.1
Mir-1296	86
Mir-1298	87.1
Mir-1301	63.1
Mir-1343	67.3
Mir-134	68.4
Mir-136	74.5
Mir-1379	83.3
Mir-149	69.9
Mir-154	34.9
Mir-1842	77.9
Mir-185	70.8
Mir-186	76.8
Mir-188	58.5
Mir-1911	86.7
Mir-1912	70.7
Mir-197	74.4
Mir-2114	73.4
Mir-224	84.7
Mir-2355	90.9
Mir-2387	74.4
Mir-2483	68.4
Mir-28	45.3
Mir-296	70.7
Mir-3059	77.4
Mir-3085	74.2
Mir-320	77.3
Mir-324	79.1
Mir-325	59.7
Mir-326	70.6
Mir-328	56.1
Mir-330	92.2
Mir-331	79.7
Mir-335	67.9
Mir-339	69.3
Mir-340	70.6
Mir-342	84.2
Mir-345	77.8
Mir-346	73.6
Mir-350	75.6
Mir-3613	52.7
Mir-361	71.9
Mir-362	55.1
Mir-370	70.1
Mir-374	66.4
Mir-376	63.6
Mir-378	84.1
Mir-423	84.4
Mir-431	66.8
Mir-432	87.2
Mir-433	82.4
Mir-448	93.8
Mir-450	52.2
Mir-452	69.5
Mir-483	63.1
Mir-486	81.5
Mir-488	71.2
Mir-491	64.7
Mir-493	77.2
Mir-504	84.6
Mir-505	68.3
Mir-506	39.9
Mir-541	76.1
Mir-542	80.2
Mir-544	80.4
Mir-574	73.9
Mir-582	64.7
Mir-590	80.2
Mir-592	78.7
Mir-598	83
Mir-615	64.3
Mir-628	78.4
Mir-6529	70.3
Mir-652	77.1
Mir-653	67.3
Mir-670	73.3
Mir-6715	62.3
Mir-671	60.5
Mir-672	78.5
Mir-676	76.2
Mir-7180	65.5
Mir-744	97.2
Mir-760	79
Mir-769	68.5
Mir-873	77.4
Mir-874	75
Mir-876	67.5
Mir-877	91.4
Mir-885	70.1
Mir-935	86.4
Mir-95	54.6
Mir-9851	74.8
Mir-2001	61.1
Mir-2056	81.4
Mir-2057	71.3
Mir-2058	80.7
Mir-2061	73.6
Mir-2062	75.7
Mir-2068	72.7
Mir-2070	88.5
Mir-2071	91.1
