mirna	trusted
Bantam	44.4
Let-7	45.2
Mir-10	27.6
Mir-1175	44.8
Mir-124	39.5
Mir-12590	79.2
Mir-12591	75.1
Mir-12592	89.7
Mir-12	40.8
Mir-133	48.7
Mir-137	41.2
Mir-153	47.7
Mir-184	39.2
Mir-190	43.7
Mir-193	38.9
Mir-1986	56
Mir-1989	50.6
Mir-1990	49.3
Mir-1992	43.9
Mir-1993	43.2
Mir-1994	36.6
Mir-1	44.7
Mir-2001	42.8
Mir-210	39.2
Mir-216	36.5
Mir-219	44.5
Mir-22	41.6
Mir-242	57.5
Mir-252	36.8
Mir-2722	65.8
Mir-277	39.2
Mir-278	36.6
Mir-279	38.3
Mir-281	39.1
Mir-29	38.2
Mir-2	30.7
Mir-315	44.9
Mir-317	38.9
Mir-31	38.7
Mir-34	42.3
Mir-36	30.6
Mir-375	39.3
Mir-67	46.9
Mir-71	45.5
Mir-750	37.1
Mir-76	39.5
Mir-7	39.9
Mir-87	41.4
Mir-8	46.6
Mir-92	33.2
Mir-96	32.9
Mir-9	45.8
Mir-12593	44.5
Mir-12594	52.8
Mir-12595	47.2
Mir-12596	70.1
Mir-12597	70.5
Mir-12598	33.2
Mir-33	46.8
Iab-4	74.3
Mir-1000	61.4
Mir-14	58.9
Mir-1890	84.3
Mir-1891	81.5
Mir-275	63.5
Mir-2765	66.8
Mir-276	52.3
Mir-2796	74.9
Mir-282	53
Mir-2940	65.4
Mir-305	47.7
Mir-306	58.7
Mir-316	57
Mir-3770	81.3
Mir-3	38.9
Mir-927	50.6
Mir-929	71.6
Mir-932	65.4
Mir-957	75.6
Mir-965	55.3
Mir-970	64
Mir-971	58.1
Mir-988	62
Mir-989	40
Mir-999	67.1
Mir-54	42
Mir-77	51.9
Mir-791	61.2
Mir-86	78.7
Mir-3049	67.9
Mir-6012	69.2
Mir-12599	89.7
Mir-12600	50.7
Mir-12601	70.6
Mir-12602	92
Lsy-6	91.4
Mir-1817	72.9
Mir-230	89.4
Mir-231	80.3
Mir-238	87
Mir-246	79.1
Mir-248	86
Mir-249	87.4
Mir-253	95
Mir-254	87.2
Mir-255	89.2
Mir-355	88.1
Mir-357	81.7
Mir-358	86.3
Mir-392	77.6
Mir-4813	82.8
Mir-52	78
Mir-62	72
Mir-64	52.8
Mir-70	75.4
Mir-73	38
Mir-784	79.7
Mir-785	61.5
Mir-787	81.6
Mir-788	73.1
Mir-789	68.4
Mir-85	91.1
Mir-90	83.5
Mir-1987	64.5
Mir-1995	61.1
Mir-1996	50.3
Mir-1997	53.6
Mir-1998	61.2
Mir-1999	62.3
Mir-2000	64.8
Mir-2685	56.7
Mir-2686	57.2
Mir-2687	72.6
Mir-2689	50.7
Mir-2690	72.6
Mir-2691	45.6
Mir-2692	74.6
Mir-2693	82
Mir-2705	63.4
Mir-2707	82.7
Mir-3931	69.5
Mir-5305	78.6
Mir-5735	66.1
Mir-12603	94.8
Mir-12604	86.6
Mir-12605	79.8
Mir-12606	70.1
Mir-12607	76.2
Mir-12608	72.9
Mir-1003	72.6
Mir-1006	86.3
Mir-1010	85
Mir-284	92.1
Mir-314	84.8
Mir-955	81.5
Mir-956	84.8
Mir-960	73.1
Mir-962	70.1
Mir-963	85.2
Mir-964	70.6
Mir-969	57.9
Mir-973	79.1
Mir-974	75.5
Mir-975	67.3
Mir-976	73.6
Mir-977	74.7
Mir-987	87.3
Mir-2160	44.9
Mir-12498	80.5
Mir-12499	84
Mir-12500	64.5
Mir-12501	85.8
Mir-12502	81.5
Mir-12503	84.1
Mir-12504	79.8
Mir-12505	82.5
Mir-12506	90.9
Mir-12507	85.1
Mir-12509	70.5
Mir-12510	85.8
Mir-12511	84.5
Mir-12512	84
Mir-12513	86.3
Mir-12514	78.8
Mir-12515	84.6
Mir-12516	89.1
Mir-12517	76
Mir-12518	80.6
Mir-12519	87.6
Mir-12520	65.5
Mir-12521	84.4
Mir-12522	90
Mir-12523	90.2
Mir-12524	92.8
Mir-12525	86.2
Mir-12526	89.3
Mir-12527	86.2
Mir-12528	94
Mir-12529	69.5
Mir-12530	76.8
Mir-12531	73
Mir-12532	81.5
Mir-12533	90
Mir-12535	69.4
Mir-12536	76.5
Mir-12537	64.5
Mir-12538	83.3
Mir-12539	98.2
Mir-12540	89.2
Mir-12541	91.2
Mir-12542	71.8
Mir-12543	85.2
Mir-12544	73
Mir-12545	87.1
Mir-12546	90.7
Mir-12547	67.3
Mir-12548	90
Mir-12549	89.7
Mir-12550	90.5
Mir-12551	68.9
Mir-12552	81.1
Mir-1984	53.5
Mir-12588	84.2
Mir-1988	80.7
Mir-5045	77.5
Mir-12589	88.9
Mir-12508	77
Mir-12534	80.2
Mir-12553	79.2
Mir-12554	83.1
Mir-12555	78.4
Mir-12556	78
Mir-12557	89.4
Mir-12558	92
Mir-12559	68.7
Mir-12560	81.7
Mir-12561	76.2
Mir-12562	86
Mir-12563	73.4
Mir-12564	77.6
Mir-12565	81.6
Mir-12566	63.4
Mir-12567	83.4
Mir-12568	82.4
Mir-12569	83.3
Mir-12570	83.3
Mir-12571	80.1
Mir-12572	86.4
Mir-12573	74.1
Mir-12574	87.9
Mir-12575	79.4
Mir-12576	85.8
Mir-12577	96.2
Mir-12578	82.8
Mir-12579	80.8
Mir-12580	76.8
Mir-12581	77.6
Mir-12582	91.3
Mir-12583	80.1
Mir-12584	86
Mir-12585	88.7
Mir-12586	79.1
Mir-12587	85
