Acanthomorpha	MIR-8160
Acoela	MIR-12497
Aculifera	MIR-12590
Ambulacraria	MIR-2006
Ambulacraria	MIR-2007
Ambulacraria	MIR-2008
Ambulacraria	MIR-2009
Ambulacraria	MIR-2011
Ambulacraria	MIR-2012
Amniota	MIR-1397
Amniota	MIR-1416
Amniota	MIR-490
Amphibia	MIR-12477
Amphibia	MIR-12609
Anenthemonae	MIR-2026
Anenthemonae	MIR-2028
Anenthemonae	MIR-2029
Anenthemonae	MIR-2037
Annelida	MIR-1995
Annelida	MIR-2692
Aparaglossata	MIR-970
Archosauria	MIR-1641
Arthropoda	IAB-4
Arthropoda	MIR-275
Arthropoda	MIR-276
Australidelphia	MIR-12474
Australidelphia	MIR-12475
Australidelphia	MIR-12476
Autobranchia	MIR-12589
Bilateria	LET-7
Bilateria	MIR-1
Bilateria	MIR-103
Bilateria	MIR-124
Bilateria	MIR-133
Bilateria	MIR-137
Bilateria	MIR-153
Bilateria	MIR-190
Bilateria	MIR-193
Bilateria	MIR-2001
Bilateria	MIR-210
Bilateria	MIR-219
Bilateria	MIR-22
Bilateria	MIR-252
Bilateria	MIR-278
Bilateria	MIR-29
Bilateria	MIR-31
Bilateria	MIR-33
Bilateria	MIR-34
Bilateria	MIR-7
Bilateria	MIR-9
Bilateria	MIR-92
Bilateria	MIR-96
Boreoeutheria	MIR-1180
Boreoeutheria	MIR-2387
Boreoeutheria	MIR-370
Boreoeutheria	MIR-770
Boreoeutheria	MIR-872
Brachionus	MIR-12599
Brachionus	MIR-12600
Brachionus	MIR-12601
Brachionus	MIR-12602
Branchiopoda	MIR-12605
Branchiostoma	MIR-12489
Branchiostoma	MIR-12490
Branchiostoma	MIR-12491
Branchiostoma	MIR-12492
Branchiostoma	MIR-12493
Branchiostoma	MIR-12494
Branchiostoma	MIR-2056
Branchiostoma	MIR-2057
Branchiostoma	MIR-2058
Branchiostoma	MIR-2061
Branchiostoma	MIR-2062
Branchiostoma	MIR-2068
Branchiostoma	MIR-2070
Branchiostoma	MIR-2071
Branchiostoma	MIR-2072
Branchiostoma	MIR-2076
Branchiostoma	MIR-4857
Branchiostoma	MIR-4859
Branchiostoma	MIR-4860
Branchiostoma	MIR-4861
Branchiostoma	MIR-4862
Branchiostoma	MIR-4863
Branchiostoma	MIR-4864
Branchiostoma	MIR-4865
Branchiostoma	MIR-4866
Branchiostoma	MIR-4868
Branchiostoma	MIR-4869
Branchiostoma	MIR-4871
Branchiostoma	MIR-4872
Branchiostoma	MIR-4873
Branchiostoma	MIR-4874
Branchiostoma	MIR-4876
Branchiostoma	MIR-4879
Branchiostoma	MIR-4880
Branchiostoma	MIR-4886
Branchiostoma	MIR-4887
Branchiostoma	MIR-4888
Branchiostoma	MIR-4891
Caenorhabditis	LSY-6
Caenorhabditis	MIR-1817
Caenorhabditis	MIR-230
Caenorhabditis	MIR-231
Caenorhabditis	MIR-238
Caenorhabditis	MIR-246
Caenorhabditis	MIR-248
Caenorhabditis	MIR-249
Caenorhabditis	MIR-253
Caenorhabditis	MIR-254
Caenorhabditis	MIR-255
Caenorhabditis	MIR-355
Caenorhabditis	MIR-357
Caenorhabditis	MIR-358
Caenorhabditis	MIR-392
Caenorhabditis	MIR-4813
Caenorhabditis	MIR-52
Caenorhabditis	MIR-62
Caenorhabditis	MIR-64
Caenorhabditis	MIR-70
Caenorhabditis	MIR-73
Caenorhabditis	MIR-784
Caenorhabditis	MIR-785
Caenorhabditis	MIR-787
Caenorhabditis	MIR-788
Caenorhabditis	MIR-789
Caenorhabditis	MIR-85
Caenorhabditis	MIR-90
Catarrhini	MIR-12462
