mirna	trusted
Bantam	46.7
Iab-4	73.6
Let-7	41.6
Mir-1000	64.2
Mir-10	29.5
Mir-1175	50.3
Mir-124	37.7
Mir-12	49.3
Mir-133	40.1
Mir-137	43.7
Mir-14	62.8
Mir-184	44.2
Mir-190	46.2
Mir-193	40.6
Mir-1993	44.3
Mir-1	44.9
Mir-210	42.2
Mir-216	38.9
Mir-219	44.7
Mir-22	43.8
Mir-252	35.7
Mir-275	57.2
Mir-2765	71.2
Mir-276	55.6
Mir-277	44.9
Mir-278	42.2
Mir-2796	74.7
Mir-279	37.4
Mir-281	46
Mir-282	51.5
Mir-29	36.7
Mir-2	32.2
Mir-305	43.3
Mir-306	53.2
Mir-315	51
Mir-316	62.3
Mir-317	51
Mir-31	42.3
Mir-33	51.7
Mir-34	54.8
Mir-375	40.6
Mir-3	40.7
Mir-67	51.5
Mir-71	49.7
Mir-76	45.2
Mir-7	44.8
Mir-87	46.8
Mir-8	53.3
Mir-927	51.7
Mir-929	75.8
Mir-92	37.1
Mir-932	72.2
Mir-957	84.5
Mir-965	62.6
Mir-96	33.3
Mir-970	72.7
Mir-971	64.4
Mir-988	65.4
Mir-989	55.7
Mir-999	74.1
Mir-9	40.3
Mir-153	57.8
Mir-242	50
Mir-36	39.4
Mir-54	40.7
Mir-750	40.7
Mir-77	48.2
Mir-791	61.7
Mir-86	78.7
Mir-2001	50.6
Mir-3049	74.7
Lsy-6	91.5
Mir-1817	75.8
Mir-230	89.7
Mir-231	81.3
Mir-238	89.7
Mir-246	83.7
Mir-248	86.1
Mir-249	87.5
Mir-253	95
Mir-254	87.5
Mir-255	89.2
Mir-355	88.2
Mir-357	82.3
Mir-358	86.3
Mir-392	77.9
Mir-4813	82.8
Mir-52	78
Mir-62	72
Mir-64	54.2
Mir-70	78.9
Mir-73	39.2
Mir-784	79.7
Mir-785	61.5
Mir-787	81.9
Mir-788	79.3
Mir-789	64.5
Mir-85	91.3
Mir-90	82.9
Mir-1986	61.4
Mir-1987	74.6
Mir-1989	42.2
Mir-1990	59.8
Mir-1992	52.8
Mir-1994	50.3
Mir-1995	65.6
Mir-1996	70
Mir-1997	59.8
Mir-1998	67.7
Mir-2000	67.4
Mir-2685	52.1
Mir-2686	60
Mir-2687	77.6
Mir-2689	48.1
Mir-2690	73.4
Mir-2691	56.7
Mir-2693	82
Mir-2705	78.8
Mir-2707	87.2
Mir-3931	67.9
Mir-5305	78.6
Mir-5735	79.9
Mir-1984	56.2
Mir-1985	72.7
Mir-2722	80.4
Mir-1003	73.1
Mir-1006	86.3
Mir-1010	85
Mir-284	98.7
Mir-314	89.9
Mir-955	81.4
Mir-956	102
Mir-960	73.1
Mir-962	66.1
Mir-963	85.2
Mir-964	71.2
Mir-969	57.9
Mir-973	78.9
Mir-974	75.5
Mir-975	65.7
Mir-976	73
Mir-977	74.1
Mir-987	79.1
