mirna	trusted
Bantam	38.6
Iab-4	80
Let-7	50.7
Mir-1000	60.4
Mir-10	34.5
Mir-1175	48.8
Mir-124	41.6
Mir-12	44.6
Mir-133	41
Mir-137	45.6
Mir-14	62.2
Mir-184	50.9
Mir-190	51.7
Mir-193	35.6
Mir-1993	44.7
Mir-1	53.7
Mir-210	40.8
Mir-216	41
Mir-219	59.3
Mir-22	39.4
Mir-252	36.4
Mir-275	61.8
Mir-2765	69.5
Mir-276	53.4
Mir-277	46.8
Mir-278	42.5
Mir-2796	77.7
Mir-279	37.7
Mir-281	42.8
Mir-282	56.8
Mir-29	36.5
Mir-2	29
Mir-305	45.5
Mir-306	57.2
Mir-315	38.7
Mir-316	62.9
Mir-317	51.7
Mir-31	49.9
Mir-33	62.2
Mir-34	53.6
Mir-375	42.1
Mir-3	38.3
Mir-67	47.6
Mir-71	55.1
Mir-76	53.2
Mir-7	52.6
Mir-87	43.9
Mir-8	56.9
Mir-927	64.7
Mir-929	77.7
Mir-92	43.6
Mir-932	72.2
Mir-957	75.2
Mir-965	64.8
Mir-96	34.1
Mir-970	73
Mir-971	64.6
Mir-988	67.4
Mir-989	39.9
Mir-999	61.7
Mir-9	38.1
Mir-153	65.7
Mir-242	53
Mir-36	39.6
Mir-54	38.2
Mir-750	44.9
Mir-791	61.2
Mir-86	78.7
Mir-2001	48.2
Mir-3049	71.9
Lsy-6	89.5
Mir-1817	69.4
Mir-230	88.9
Mir-231	78.1
Mir-238	84.7
Mir-246	79.3
Mir-248	86.2
Mir-249	87.4
Mir-253	95.9
Mir-254	86.6
Mir-255	88.6
Mir-355	88.1
Mir-357	80.7
Mir-358	85.3
Mir-392	79.5
Mir-4813	81.3
Mir-62	35.6
Mir-65	52.8
Mir-70	71.4
Mir-73	41.1
Mir-77	82.2
Mir-784	78.5
Mir-785	61.5
Mir-787	80.7
Mir-788	72.5
Mir-789	70.5
Mir-85	90.3
Mir-90	83.5
Mir-1986	70.2
Mir-1987	69.1
Mir-1989	64.7
Mir-1990	52.2
Mir-1992	64.4
Mir-1994	53
Mir-1995	65.6
Mir-1996	67.7
Mir-1997	59.5
Mir-1998	70.5
Mir-2000	68.5
Mir-2685	52.3
Mir-2686	57.2
Mir-2687	71.9
Mir-2689	49.3
Mir-2690	72.8
Mir-2691	56.6
Mir-2693	82
Mir-2705	70.1
Mir-2707	84.2
Mir-1984	67.1
Mir-1985	66.9
Mir-2722	82.1
Mir-1003	72.6
Mir-1006	86
Mir-1010	86.7
Mir-284	95.9
Mir-955	84.5
Mir-956	87.5
Mir-960	76.1
Mir-962	70.2
Mir-963	86.9
Mir-964	75.1
Mir-968	74.6
Mir-969	65
Mir-973	79.5
Mir-974	83.7
Mir-975	74.1
Mir-976	76.8
Mir-977	78.2
Mir-987	79.1
Mir-3931	83.5
Mir-5305	84.9
