mirna	trusted
Bantam	46.5
Iab-4	73.6
Let-7	42.8
Mir-1000	64.3
Mir-10	27.6
Mir-1175	50.3
Mir-124	43.4
Mir-12	49.3
Mir-133	38.9
Mir-137	48.3
Mir-14	62.8
Mir-184	40.6
Mir-190	47.6
Mir-193	39.3
Mir-1993	43.6
Mir-1	45.1
Mir-210	41
Mir-216	39.4
Mir-219	59.3
Mir-22	41.2
Mir-252	31.7
Mir-275	54.8
Mir-2765	71.2
Mir-276	55.6
Mir-277	44.9
Mir-278	42.4
Mir-2796	74.7
Mir-279	37.1
Mir-281	41.7
Mir-282	51.5
Mir-29	43.2
Mir-2	30.1
Mir-305	43.3
Mir-306	53.2
Mir-315	43.7
Mir-316	62.3
Mir-317	51.1
Mir-31	40.1
Mir-33	44.6
Mir-34	37.8
Mir-375	34.3
Mir-3	40.7
Mir-67	51.4
Mir-71	48.3
Mir-76	45.8
Mir-7	44.5
Mir-87	46.7
Mir-8	44
Mir-927	51.7
Mir-929	75.8
Mir-92	35.9
Mir-932	72.2
Mir-957	84.5
Mir-965	62.6
Mir-96	37.4
Mir-970	72.7
Mir-971	63.9
Mir-988	65.4
Mir-989	55.7
Mir-999	74.1
Mir-9	42.7
Mir-101	72.7
Mir-103	44.7
Mir-122	63.6
Mir-126	57.6
Mir-128	61.4
Mir-129	48.1
Mir-1306	82.2
Mir-130	41.8
Mir-1329	68.9
Mir-132	47.9
Mir-135	42
Mir-1388	53.2
Mir-138	54.4
Mir-1397	86.2
Mir-139	70.9
Mir-140	49.3
Mir-1416	70
Mir-142	66.9
Mir-143	74.7
Mir-144	69.3
Mir-145	68
Mir-146	45.1
Mir-147	72.1
Mir-148	55.2
Mir-150	48.4
Mir-153	54.1
Mir-155	51
Mir-15	38.3
Mir-1641	74
Mir-1662	75.1
Mir-1677	59
Mir-1720	60.7
Mir-1788	63.3
Mir-17	41.6
Mir-1805	77.1
Mir-181	46.6
Mir-187	70.1
Mir-191	58
Mir-192	58
Mir-194	56.7
Mir-196	44.2
Mir-199	57.7
Mir-19	50.9
Mir-202	48.6
Mir-203	63.1
Mir-204	54.3
Mir-205	49.9
Mir-208	42
Mir-214	84.4
Mir-217	56.1
Mir-2184	56.1
Mir-2188	67.1
Mir-218	56.3
Mir-21	58.7
Mir-221	52.8
Mir-223	55.1
Mir-23	57.1
Mir-24	56.5
Mir-26	57.9
Mir-27	51.2
Mir-2970	71.7
Mir-30	46.3
Mir-32	58.1
Mir-338	44.3
Mir-383	82
Mir-4057	67.7
Mir-425	65.5
Mir-430	34.9
Mir-451	60.7
Mir-455	77.4
Mir-456	78.3
Mir-458	71.7
Mir-459	43.9
Mir-460	54.9
Mir-489	64.9
Mir-490	79.6
Mir-499	68.2
Mir-551	54.7
Mir-599	50.8
Mir-722	80.2
Mir-737	71.4
Mir-7463	84.6
Mir-875	60.2
Mir-2014	63.9
Mir-2015	81.3
Mir-2017	76.8
Mir-2018	69.5
Mir-2019	68.8
Mir-2020	128.5
Mir-2021	153.4
Mir-4541	71.7
Mir-7147	67.4
Mir-725	53.1
Mir-726	66.8
Mir-727	83.8
Mir-242	52.9
Mir-36	39.9
Mir-54	40.7
Mir-750	41.2
Mir-77	48.2
Mir-791	61.7
Mir-86	78.7
Mir-2001	50.3
Mir-3049	74.7
Mir-105	60
Mir-1247	63.2
Mir-1249	76.4
Mir-1251	77.8
Mir-1271	79.7
Mir-1277	65.1
Mir-127	80.1
Mir-1296	86
Mir-1298	87.1
Mir-1301	63.1
Mir-1307	82.2
Mir-1343	70.7
Mir-134	70.5
Mir-136	74.5
Mir-1379	83.3
Mir-149	69.9
Mir-154	35
Mir-1842	79.1
Mir-185	70.8
Mir-186	76.8
Mir-188	58.6
Mir-1911	87.6
Mir-1912	70.2
Mir-197	74.4
Mir-2114	75.4
Mir-224	84.7
Mir-2355	90.9
Mir-2387	79
Mir-2483	68.4
Mir-28	46.1
Mir-296	70.5
Mir-3059	77.4
Mir-3085	74.3
Mir-320	77.3
Mir-324	79.1
Mir-325	62.5
Mir-326	70.6
Mir-328	56.1
Mir-330	92.2
Mir-331	79.7
Mir-335	67.9
Mir-339	69.1
Mir-340	70.3
Mir-342	84.2
Mir-345	77.8
Mir-346	80.7
Mir-350	75.6
Mir-3613	52.7
Mir-361	71.9
Mir-362	55.9
Mir-370	70.1
Mir-374	66.5
Mir-376	63.8
Mir-378	84.1
Mir-423	84.4
Mir-431	65.5
Mir-432	95.5
Mir-433	82.4
Mir-448	98.8
Mir-450	51.8
Mir-452	69.5
Mir-483	60.1
Mir-486	80.7
Mir-488	69.4
Mir-491	64.7
Mir-493	77.2
Mir-504	84.6
Mir-505	68.3
Mir-506	41.5
Mir-541	76.1
Mir-542	82.4
Mir-544	71.6
Mir-574	73.9
Mir-582	67
Mir-590	80.2
Mir-592	78.7
Mir-598	79.1
Mir-615	64.1
Mir-628	78.4
Mir-6529	70.3
Mir-652	77.1
Mir-653	67.5
Mir-670	74.8
Mir-6715	65.7
Mir-671	60.5
Mir-672	78.3
Mir-676	76.8
Mir-7180	65.5
Mir-744	97.2
Mir-760	79
Mir-769	75.9
Mir-873	77.4
Mir-874	75
Mir-876	67.5
Mir-877	91.4
Mir-885	71.8
Mir-935	86.4
Mir-95	52.5
Mir-9851	74.8
Mir-2056	81.4
Mir-2057	71.3
Mir-2058	80.7
Mir-2061	73.6
Mir-2062	75.7
Mir-2068	72.7
Mir-2070	88.6
Mir-2071	91.1
Mir-2072	75.6
Mir-2076	69.9
Mir-4857	87.4
Mir-4859	87.1
Mir-4860	86.7
Mir-4861	73.2
Mir-4862	83.7
Mir-4863	74.7
Mir-4864	56.3
Mir-4865	83.2
Mir-4866	76.7
Mir-4869	94
Mir-4871	81.3
Mir-4872	55.5
Mir-4873	78.5
Mir-4874	86.7
Mir-4876	77
Mir-4879	83.3
Mir-4880	79.9
Mir-4886	82.5
Mir-4887	65.7
Mir-4888	64.9
Mir-4891	69.7
Lsy-6	91.5
Mir-1817	75.8
Mir-230	89.7
Mir-231	81.3
Mir-238	89.7
Mir-246	83.7
Mir-248	86.1
Mir-249	87.5
Mir-253	95
Mir-254	87.5
Mir-255	89.2
Mir-355	88.2
Mir-357	82.3
Mir-358	86.3
Mir-392	77.9
Mir-4813	82.8
Mir-52	78
Mir-62	72
Mir-64	54.2
Mir-70	78.9
Mir-73	39.2
Mir-784	79.7
Mir-785	61.5
Mir-787	81.9
Mir-788	79.3
Mir-789	64.5
Mir-85	91.3
Mir-90	82.9
Mir-384	82.8
Mir-675	68.4
Mir-1986	61.4
Mir-1987	74.6
Mir-1989	42.2
Mir-1990	59.6
Mir-1992	52.8
Mir-1994	50.1
Mir-1995	65.6
Mir-1996	70
Mir-1997	59.8
Mir-1998	67.7
Mir-2000	67.4
Mir-2685	52.1
Mir-2686	60
Mir-2687	77.6
Mir-2689	48.1
Mir-2690	73.4
Mir-2691	56.7
Mir-2693	82
Mir-2705	78.8
Mir-2707	87.2
Mir-337	74.2
Mir-511	84.5
Mir-872	77.2
Mir-3931	67.9
Mir-5305	78.6
Mir-5735	79.9
Mir-1451	65.4
Mir-1467	95.7
Mir-1552	78.3
Mir-1559	78.6
Mir-1729	70.9
Mir-1781	67.4
Mir-2131	95.8
Mir-2954	90
Mir-2984	95.7
Mir-9619	62.2
Mir-1984	56.2
Mir-1985	72.7
