mirna	trusted
Bantam	43.8
Let-7	43.2
Mir-10	25.9
Mir-1175	45.7
Mir-124	41.2
Mir-12590	79.2
Mir-12591	75.1
Mir-12592	89.7
Mir-12	38.4
Mir-137	41.5
Mir-153	46
Mir-184	40.5
Mir-190	46.3
Mir-193	36.8
Mir-1986	56
Mir-1989	50.7
Mir-1990	49.3
Mir-1992	43.7
Mir-1993	43.5
Mir-1994	39.8
Mir-1	48.9
Mir-2001	42.9
Mir-210	31
Mir-216	38.9
Mir-219	59.4
Mir-22	42.1
Mir-242	46.3
Mir-252	38.2
Mir-2722	66.3
Mir-277	39.2
Mir-278	34.9
Mir-279	35.1
Mir-281	44.4
Mir-29	43
Mir-2	27.8
Mir-315	44
Mir-317	39.1
Mir-31	40.6
Mir-34	36
Mir-36	30.4
Mir-375	37.2
Mir-67	44.7
Mir-71	43.6
Mir-750	41.6
Mir-76	39.1
Mir-7	39.5
Mir-87	42.4
Mir-8	41.1
Mir-92	36.3
Mir-96	30.8
Mir-9	45.2
Mir-2022	64.7
Mir-2030	72.9
Mir-2026	78
Mir-2028	73.1
Mir-2029	69.5
Mir-2037	79.1
Mir-12593	44.5
Mir-12594	52.8
Mir-12595	47.2
Mir-12596	70.1
Mir-12597	70.5
Mir-12598	37.4
Mir-33	47.8
Iab-4	74.3
Mir-1000	61.4
Mir-103	45
Mir-133	37
Mir-14	58.9
Mir-1890	84.3
Mir-1891	81.5
Mir-275	63.5
Mir-2765	66.8
Mir-276	52.3
Mir-2796	74.9
Mir-282	55.9
Mir-2940	65.4
Mir-305	45
Mir-306	58.7
Mir-316	57
Mir-3770	81.3
Mir-3	38.9
Mir-927	50.6
Mir-929	71.6
Mir-932	65.4
Mir-957	75.6
Mir-965	55.3
Mir-970	64
Mir-971	58.1
Mir-988	62
Mir-989	38.9
Mir-999	67.1
Mir-101	73
Mir-122	67
Mir-126	57.8
Mir-128	62.7
Mir-129	48.6
Mir-1306	81.6
Mir-130	44.9
Mir-1329	56.5
Mir-132	48.7
Mir-135	40
Mir-1388	51.8
Mir-138	54.6
Mir-1397	86.2
Mir-139	71.3
Mir-140	52.8
Mir-1416	70
Mir-142	66.3
Mir-143	74.7
Mir-144	69.1
Mir-145	63.1
Mir-146	45.2
Mir-147	69.3
Mir-148	53.3
Mir-150	50.7
Mir-155	49.6
Mir-15	35.3
Mir-1641	74
Mir-1662	67.6
Mir-1677	58.8
Mir-1720	60.7
Mir-1788	64.5
Mir-17	40.5
Mir-1805	77.5
Mir-181	48
Mir-187	66.5
Mir-191	57.8
Mir-192	59.2
Mir-194	56
Mir-196	41
Mir-199	57.8
Mir-19	47.5
Mir-202	49.8
Mir-203	64.9
Mir-204	53.2
Mir-205	50.1
Mir-208	46.7
Mir-214	84.4
Mir-217	56.7
Mir-2184	55.8
Mir-2188	66.9
Mir-218	55.3
Mir-21	58.4
Mir-221	56.2
Mir-223	54.7
Mir-23	59.2
Mir-24	56.1
Mir-26	58.9
Mir-27	50.7
Mir-2970	72.3
Mir-30	45.4
Mir-32	59.9
Mir-338	47.3
Mir-383	82
Mir-425	64.5
Mir-430	42.4
Mir-451	52.3
Mir-455	77.7
Mir-456	78.3
Mir-458	72.2
Mir-459	46.5
Mir-460	59.8
Mir-489	61.8
Mir-490	68.6
Mir-499	68.3
Mir-551	60.5
Mir-599	73.7
Mir-722	80.2
Mir-737	71.5
Mir-7463	84.6
Mir-875	60.7
Mir-2014	64.5
Mir-2015	79.9
Mir-2017	75.2
Mir-2018	62.1
Mir-2019	66.1
Mir-2020	128.5
Mir-2021	153.4
Mir-4541	71.7
Mir-7147	67.4
Mir-725	52.8
Mir-726	66
Mir-727	83.8
Mir-54	41.4
Mir-77	51.9
Mir-791	61.2
Mir-86	78.7
Mir-3049	67.9
Mir-6012	69.2
Mir-105	60
Mir-1247	81.5
Mir-1249	76.4
Mir-1251	77.8
Mir-1264	73.9
Mir-1271	79.5
Mir-1277	65.1
Mir-127	80.1
Mir-1296	85.1
Mir-1298	85.1
Mir-1301	52
Mir-1307	80.1
Mir-1343	74.2
Mir-134	71.9
Mir-136	74.5
Mir-1379	79.1
Mir-149	83.6
Mir-151	69.3
Mir-154	33.2
Mir-1842	77.6
Mir-185	70.8
Mir-186	77.2
Mir-188	55.9
Mir-1911	68.6
Mir-1912	78.3
Mir-197	72.1
Mir-2114	70.1
Mir-224	72.7
Mir-2355	73.8
Mir-2387	79
Mir-2483	84.5
Mir-28	73.7
Mir-296	73.9
Mir-3059	77.4
Mir-3085	71.9
Mir-320	77.6
Mir-324	79.1
Mir-325	54.7
Mir-326	65.8
Mir-328	59.9
Mir-330	77.4
Mir-331	79.4
Mir-335	84.8
Mir-339	70.1
Mir-340	80.2
Mir-342	87.2
Mir-345	45
Mir-346	76.2
Mir-350	75.1
Mir-3613	65.4
Mir-361	75.5
Mir-362	58.5
Mir-370	62.4
Mir-374	72.3
Mir-376	62.9
Mir-378	54.9
Mir-421	75.9
Mir-423	84.4
Mir-431	65.6
Mir-432	95.5
Mir-433	79.3
Mir-448	84.1
Mir-450	71.5
Mir-452	78.8
Mir-483	60.8
Mir-484	82.2
Mir-486	77.1
Mir-488	84.2
Mir-491	64.7
Mir-493	68.7
Mir-504	78.3
Mir-505	68.3
Mir-506	40.6
Mir-541	85.1
Mir-542	41.6
Mir-544	77.4
Mir-574	58.2
Mir-582	67
Mir-590	80.2
Mir-592	78.7
Mir-598	72
Mir-6119	89.2
Mir-615	77.5
Mir-628	70.4
Mir-6529	70.3
Mir-652	77.1
Mir-653	71.6
Mir-670	75.4
Mir-6715	60.7
Mir-671	66.8
Mir-672	83.6
Mir-676	76.2
Mir-708	85.7
Mir-7180	65.5
Mir-744	98.4
Mir-760	78.3
Mir-769	76.2
Mir-770	77.5
Mir-873	77.4
Mir-874	75
Mir-876	86.2
Mir-877	89.2
Mir-885	61.1
Mir-935	82.5
Mir-95	79.6
Mir-9851	79.6
Mir-12599	89.7
Mir-12600	50.7
Mir-12601	70.6
Mir-12602	92
Mir-12489	45
Mir-12490	83.9
Mir-12491	56.6
Mir-12492	80.1
Mir-12493	76.3
Mir-12494	69.5
Mir-2056	81.4
Mir-2057	71.3
Mir-2058	80.7
Mir-2061	73.6
Mir-2062	75.7
Mir-2068	72.7
Mir-2070	88.5
Mir-2071	91.1
Mir-2072	75.6
Mir-2076	69.9
Mir-4057	57.3
Mir-4857	87.4
Mir-4859	87.1
Mir-4860	86.7
Mir-4861	73.2
Mir-4862	83.6
Mir-4863	74.7
Mir-4864	56.3
Mir-4865	83.2
Mir-4866	76.7
Mir-4868	71.9
Mir-4869	94
Mir-4871	81.3
Mir-4872	55.5
Mir-4873	78.5
Mir-4874	86.7
Mir-4876	77
Mir-4879	83.3
Mir-4880	79.9
Mir-4886	82.5
Mir-4887	65.7
Mir-4888	64.9
Mir-4891	69.7
Lsy-6	91.4
Mir-1817	72.9
Mir-230	89.4
Mir-231	80.3
Mir-238	87
Mir-246	79.1
Mir-248	86
Mir-249	87.4
Mir-253	95
Mir-254	87.2
Mir-255	89.2
Mir-355	88.1
Mir-357	81.7
Mir-358	86.3
Mir-392	77.6
Mir-4813	82.8
Mir-52	78
Mir-62	72
Mir-64	52.8
Mir-70	75.4
Mir-73	38.4
Mir-784	79.7
Mir-785	61.5
Mir-787	81.6
Mir-788	73.1
Mir-789	68.4
Mir-85	91.1
Mir-90	83.5
Mir-1180	80.9
Mir-1266	83.9
Mir-1270	77.5
Mir-1286	76.1
Mir-1294	75.3
Mir-1295	86.5
Mir-1908	71.6
Mir-3138	75
Mir-3140	63.4
Mir-3145	63.6
Mir-3173	63.1
Mir-3187	78.6
Mir-337	60
Mir-384	75.2
Mir-4424	64.8
Mir-4677	76.9
Mir-511	63.7
Mir-550	64.5
Mir-552	81.8
Mir-556	82.2
Mir-5579	61.9
Mir-5586	83.8
Mir-561	88
Mir-5687	75.9
Mir-576	73.2
Mir-577	90.2
Mir-579	84.2
Mir-580	62.5
Mir-584	76
Mir-589	69.8
Mir-605	82.8
Mir-616	77.9
Mir-629	83.9
Mir-642	86.7
Mir-651	85.1
Mir-675	61.9
Mir-872	66.3
Mir-887	86.9
Mir-944	60.3
Mir-12487	74.8
Mir-12488	80.5
Mir-12464	63.6
Mir-1987	64.5
Mir-1995	61.1
Mir-1996	50.3
Mir-1997	53.8
Mir-1998	61.2
Mir-1999	62.3
Mir-2000	64.8
Mir-2685	56.7
Mir-2686	57.2
Mir-2687	72.6
Mir-2689	46.6
Mir-2690	72.6
Mir-2691	45.6
Mir-2692	74.6
Mir-2693	82
Mir-2705	63.4
Mir-2707	82.7
Mir-3931	69.5
Mir-5305	78.6
Mir-5735	66.1
Mir-1451	65.4
Mir-1467	95.7
Mir-1552	78.3
Mir-1559	78.6
Mir-1729	70.9
Mir-1781	67.4
Mir-2131	95.8
Mir-2954	90
Mir-2984	95.7
Mir-9619	62.2
Mir-7132	71.5
Mir-7133	70.3
Mir-723	67.7
Mir-724	82.6
Mir-728	77.4
Mir-729	86.2
Mir-734	66.4
Mir-12603	94.8
Mir-12604	86.6
Mir-12605	79.8
Mir-12606	70.1
Mir-12607	76.2
Mir-12608	72.9
Mir-1003	72.6
Mir-1006	86.3
Mir-1010	85
Mir-284	92.1
Mir-314	84.8
Mir-955	81.5
Mir-956	84.8
Mir-960	73.1
Mir-962	70.1
Mir-963	85.2
Mir-964	70.6
Mir-969	57.9
Mir-973	79.1
Mir-974	75.5
Mir-975	67.3
Mir-976	73.6
Mir-977	74.7
Mir-987	87.3
Mir-2160	44.5
Mir-4542	80.4
Mir-4543	79.5
Mir-4544	87.8
Mir-4545	76.9
Mir-12498	80.5
Mir-12499	84
Mir-12500	64.5
Mir-12501	85.8
Mir-12502	81.5
Mir-12503	84.1
Mir-12504	79.8
Mir-12505	82.5
Mir-12506	90.9
Mir-12507	85.1
Mir-12509	70.5
Mir-12510	85.8
Mir-12511	84.5
Mir-12512	84
Mir-12513	86.3
Mir-12514	78.8
Mir-12515	84.6
Mir-12516	89.1
Mir-12517	76
Mir-12518	80.6
Mir-12519	87.6
Mir-12520	65.5
Mir-12521	84.4
Mir-12522	90
Mir-12523	90.2
Mir-12524	92.8
Mir-12525	86.2
Mir-12526	89.3
Mir-12527	86.2
Mir-12528	94
Mir-12529	69.5
Mir-12530	76.8
Mir-12531	73
Mir-12532	81.5
Mir-12533	90
Mir-12535	69.4
Mir-12536	76.5
Mir-12537	64.5
Mir-12538	83.3
Mir-12539	98.2
Mir-12540	89.2
Mir-12541	91.2
Mir-12542	71.8
Mir-12543	85.2
Mir-12544	73
Mir-12545	87.1
Mir-12546	90.7
Mir-12547	67.3
Mir-12548	90
Mir-12549	89.7
Mir-12550	90.5
Mir-12551	68.9
Mir-12552	81.1
Mir-1984	53.5
Mir-8160	72.3
Mir-12588	84.2
Mir-1988	80.7
Mir-12495	49.4
Mir-12496	45.8
Mir-12497	56
Mir-12462	74.7
Mir-12463	89.6
Mir-1252	68.8
Mir-1269	86.8
Mir-1278	68.9
Mir-1914	64.3
Mir-2276	80.5
Mir-3144	69.8
Mir-3146	79.7
Mir-3174	90.3
Mir-3617	83.3
Mir-3909	75.4
Mir-3934	79.5
Mir-4524	71
Mir-4637	68.9
Mir-4661	73.2
Mir-4662	62.2
Mir-4664	80.1
Mir-4731	59.9
Mir-4766	70.6
Mir-4798	70
Mir-5581	77.6
Mir-624	78.7
Mir-766	84.1
Mir-7706	77.9
Mir-7854	81.8
Mir-934	67.2
Mir-5045	77.5
Mir-12589	88.9
Mir-12477	71.2
Mir-12609	72.7
Mir-12316	68.1
Mir-12355	83.3
Mir-12358	91.5
Mir-12366	73.3
Mir-12380	81.2
Mir-12404	80
Mir-12465	84.2
Mir-12466	80.8
Mir-12467	74
Mir-12468	70.3
Mir-1540	83.6
Mir-1541	72.4
Mir-1542	83.8
Mir-1546	87.9
Mir-1547	84.5
Mir-1549	88.6
Mir-7246	79.6
Mir-7247	74
Mir-7250	84.7
Mir-7251	92.7
Mir-7254	86.1
Mir-7262	69.6
Mir-7281	86.6
Mir-7284	77.5
Mir-7286	86.7
Mir-7288	83.8
Mir-7292	88.9
Mir-7293	78.8
Mir-7303	71.1
Mir-7304	80.5
Mir-7309	85.2
Mir-7318	84.9
Mir-7319	82.3
Mir-7323	80.3
Mir-7327	84.5
Mir-7329	68.6
Mir-7332	89.8
Mir-7333	81.7
Mir-7336	87.7
Mir-7356	80.1
